date,open,high,low,close,volume
1663848000000,1.087,1.0884,1.0566,1.0661,2190.9675
1663862400000,1.0661,1.0886,1.0563,1.0794,2397.4465
1663876800000,1.0794,1.0951,1.0758,1.09,3171.47955
1663891200000,1.09,1.1063,1.0792,1.1011,4549.04085
1663905600000,1.1011,1.1126,1.084,1.0855,2809.92005
1663920000000,1.0855,1.0897,1.0511,1.0562,4070.5757
1663934400000,1.0557,1.0734,1.0365,1.0476,2591.20645
1663948800000,1.0476,1.053,1.0354,1.0459,848.4365
1663963200000,1.0459,1.0904,1.0459,1.0828,486.063
1663977600000,1.0828,1.0946,1.0775,1.0834,470.45455
1663992000000,1.0834,1.1174,1.0814,1.0917,4220.2109
1664006400000,1.0917,1.0954,1.0852,1.0885,203.97055
1664020800000,1.0885,1.1002,1.0885,1.0914,669.73175
1664035200000,1.0914,1.0997,1.0896,1.0962,750.69495
1664049600000,1.0962,1.0971,1.067,1.0685,2291.10455
1664064000000,1.0685,1.0827,1.0685,1.0827,275.96145
1664078400000,1.0827,1.0905,1.0734,1.0872,2614.03265
1664092800000,1.0872,1.0891,1.0751,1.0874,606.55955
1664107200000,1.0874,1.0876,1.0591,1.0678,6056.3623
1664121600000,1.0678,1.0754,1.0523,1.0591,277.1406
1664136000000,1.0591,1.0591,1.0306,1.0401,456.51415
1664150400000,1.0401,1.0494,1.025,1.0293,5448.02045
1664164800000,1.0293,1.0345,1.0126,1.032,58.5998
1664179200000,1.032,1.0527,1.0239,1.0322,1053.817
1664193600000,1.0322,1.0594,1.0288,1.0509,6658.61285
1664208000000,1.0509,1.0597,1.0403,1.0538,1661.8652
1664222400000,1.0538,1.0606,1.048,1.0597,220.11165
1664236800000,1.0597,1.1107,1.0556,1.1071,3180.97065
1664251200000,1.1071,1.1298,1.1071,1.1214,15801.5878
1664265600000,1.1214,1.1412,1.1077,1.1258,1991.69895
1664280000000,1.1258,1.1304,1.1021,1.1075,1439.8057
1664294400000,1.1075,1.1107,1.0427,1.0549,2208.77935
1664308800000,1.0549,1.0701,1.0511,1.0692,5578.59785
1664323200000,1.0692,1.0754,1.0236,1.0468,1473.4547
1664337600000,1.0468,1.0517,1.0277,1.0445,463.6859
1664352000000,1.0445,1.0487,1.03,1.0428,2314.0334
1664366400000,1.0428,1.0675,1.0423,1.0649,1184.99645
1664380800000,1.0649,1.0754,1.0584,1.0724,562.4761
1664395200000,1.0724,1.0809,1.0696,1.0736,642.3541
1664409600000,1.0736,1.0939,1.0628,1.0919,884.57095
1664424000000,1.0919,1.0971,1.0693,1.0734,2111.062
1664438400000,1.0734,1.0862,1.064,1.0778,1875.79685
1664452800000,1.0778,1.0809,1.0538,1.0809,2797.1736
1664467200000,1.0809,1.0873,1.0684,1.085,1006.79345
1664481600000,1.085,1.1106,1.085,1.1048,1305.43845
1664496000000,1.1048,1.1068,1.0884,1.0998,18600.6376
1664510400000,1.0998,1.1178,1.0987,1.1077,2523.8396
1664524800000,1.1077,1.1146,1.0898,1.0898,1437.34025
1664539200000,1.0898,1.1136,1.0842,1.0961,2202.9257
1664553600000,1.0961,1.1145,1.0934,1.0967,901.20815
1664568000000,1.0967,1.1039,1.087,1.1039,1323.6925
1664582400000,1.1039,1.1248,1.1023,1.118,2315.8795
1664596800000,1.118,1.1209,1.1022,1.1074,9093.5285
1664611200000,1.1074,1.1181,1.1056,1.1145,131.2804
1664625600000,1.1145,1.1145,1.0933,1.0968,1357.198
1664640000000,1.0968,1.0968,1.0782,1.0842,1002.75195
1664654400000,1.0842,1.0842,1.0712,1.0734,943.84195
1664668800000,1.0734,1.074,1.0591,1.0696,2148.28015
1664683200000,1.0696,1.0755,1.0587,1.061,4662.38215
