Date,AAPL,ADBE,ORCL,EBAY,MSFT,QCOM,HPQ,JNPR,AMD,IBM,SPY
2015-08-17,29.290000915527344,86.7699966430664,39.720001220703125,28.290000915527344,47.31999969482422,62.06999969482422,12.9927339553833,28.31999969482422,1.7999999523162842,149.43594360351562,210.58999633789062
2015-08-18,29.125,86.44999694824219,39.83000183105469,27.770000457763672,47.27000045776367,61.31999969482422,12.89282512664795,28.1200008392334,1.7999999523162842,149.14913940429688,209.97999572753906
2015-08-19,28.752500534057617,85.4800033569336,39.529998779296875,27.43000030517578,46.61000061035156,61.18000030517578,12.597639083862305,28.049999237060547,1.7999999523162842,147.170166015625,208.32000732421875
2015-08-20,28.162500381469727,82.69000244140625,38.630001068115234,26.520000457763672,45.65999984741211,60.150001525878906,12.420527458190918,27.360000610351562,1.7000000476837158,145.9464569091797,203.97000122070312
2015-08-21,26.440000534057617,78.87000274658203,37.54999923706055,25.770000457763672,43.06999969482422,57.61000061035156,12.47502326965332,26.559999465942383,1.7799999713897705,142.30401611328125,197.8300018310547
2015-08-24,25.780000686645508,74.2699966430664,36.08000183105469,24.93000030517578,41.68000030517578,55.279998779296875,12.079927444458008,25.559999465942383,1.75,137.16061401367188,189.5
2015-08-25,25.934999465942383,74.56999969482422,35.45000076293945,25.229999542236328,40.470001220703125,53.880001068115234,11.666666984558105,24.8799991607666,1.659999966621399,134.76100158691406,187.27000427246094
2015-08-26,27.422500610351562,77.33000183105469,36.90999984741211,26.170000076293945,42.709999084472656,56.65999984741211,12.306994438171387,25.56999969482422,1.7200000286102295,140.24856567382812,194.4600067138672
2015-08-27,28.229999542236328,78.91000366210938,36.81999969482422,27.100000381469727,43.900001525878906,57.36000061035156,12.620345115661621,26.0,1.7799999713897705,142.0076446533203,199.27000427246094
2015-08-28,28.322500228881836,79.4000015258789,37.459999084472656,27.25,43.93000030517578,57.45000076293945,12.729336738586426,25.979999542236328,1.850000023841858,141.47227478027344,199.27999877929688
2015-08-31,28.190000534057617,78.56999969482422,37.09000015258789,27.110000610351562,43.52000045776367,56.58000183105469,12.742960929870605,25.709999084472656,1.809999942779541,141.38623046875,197.6699981689453
2015-09-01,26.93000030517578,75.98999786376953,36.0099983215332,26.479999542236328,41.81999969482422,55.02000045776367,12.629427909851074,24.940000534057617,1.7100000381469727,136.4053497314453,191.77000427246094
2015-09-02,28.084999084472656,77.25,36.75,26.8700008392334,43.36000061035156,55.86000061035156,12.715712547302246,25.309999465942383,1.7699999809265137,138.67112731933594,195.41000366210938
2015-09-03,27.592500686645508,78.31999969482422,36.900001525878906,27.040000915527344,43.5,55.54999923706055,12.774749755859375,25.270000457763672,1.7899999618530273,140.32504272460938,195.5500030517578
2015-09-04,27.3174991607666,76.88999938964844,36.27000045776367,26.479999542236328,42.61000061035156,54.290000915527344,12.257039070129395,25.059999465942383,1.8200000524520874,137.3804931640625,192.58999633789062
2015-09-08,28.077499389648438,79.77999877929688,37.68000030517578,26.360000610351562,43.88999938964844,55.20000076293945,12.529519081115723,25.549999237060547,1.8799999952316284,140.75526428222656,197.42999267578125
2015-09-09,27.537500381469727,78.5199966430664,37.09000015258789,26.200000762939453,43.06999969482422,54.31999969482422,12.379654884338379,25.25,1.850000023841858,138.67112731933594,194.7899932861328
2015-09-10,28.142499923706055,78.69999694824219,37.61000061035156,26.149999618530273,43.290000915527344,55.33000183105469,12.411443710327148,25.6200008392334,1.840000033378601,139.7705535888672,195.85000610351562
2015-09-11,28.552499771118164,79.19000244140625,37.91999816894531,26.31999969482422,43.47999954223633,54.65999984741211,12.329700469970703,25.260000228881836,2.009999990463257,140.88909912109375,196.74000549316406
2015-09-14,28.827499389648438,78.45999908447266,37.560001373291016,25.75,43.040000915527344,54.310001373291016,12.279746055603027,25.329999923706055,1.8200000524520874,139.24473571777344,196.00999450683594
2015-09-15,29.06999969482422,79.52999877929688,37.9900016784668,25.979999542236328,43.97999954223633,54.869998931884766,12.311534881591797,25.799999237060547,1.8600000143051147,141.0420684814453,198.4600067138672
2015-09-16,29.102500915527344,80.52999877929688,38.27000045776367,26.739999771118164,44.29999923706055,55.20000076293945,12.929155349731445,25.959999084472656,1.8899999856948853,141.88336181640625,200.17999267578125
2015-09-17,28.479999542236328,80.30999755859375,36.7400016784668,26.270000457763672,44.25,54.97999954223633,12.52043628692627,25.809999465942383,1.8899999856948853,141.625244140625,199.72999572753906
2015-09-18,28.362499237060547,81.25,36.380001068115234,26.020000457763672,43.47999954223633,54.45000076293945,12.052679061889648,25.540000915527344,1.8700000047683716,138.15487670898438,195.4499969482422
2015-09-21,28.802499771118164,83.31999969482422,36.83000183105469,25.920000076293945,44.11000061035156,54.38999938964844,12.0072660446167,25.760000228881836,1.809999942779541,140.03823852539062,196.4600067138672
2015-09-22,28.350000381469727,84.66000366210938,36.189998626708984,25.610000610351562,43.900001525878906,53.939998626708984,11.6485013961792,25.25,1.7300000190734863,138.07839965820312,193.91000366210938
2015-09-23,28.579999923706055,85.5,35.9900016784668,25.59000015258789,43.869998931884766,53.560001373291016,11.57583999633789,25.360000610351562,1.7000000476837158,137.34225463867188,193.60000610351562
2015-09-24,28.75,83.91000366210938,36.060001373291016,25.610000610351562,43.90999984741211,53.27000045776367,11.471389770507812,25.309999465942383,1.7200000286102295,138.0592803955078,192.89999389648438
2015-09-25,28.677499771118164,83.12999725341797,36.04999923706055,25.329999923706055,43.939998626708984,53.220001220703125,11.357855796813965,25.280000686645508,1.7100000381469727,139.0248565673828,192.85000610351562
2015-09-28,28.110000610351562,80.5199966430664,35.439998626708984,24.139999389648438,43.290000915527344,52.540000915527344,11.158038139343262,24.90999984741211,1.659999966621399,136.2523956298828,188.00999450683594
2015-09-29,27.264999389648438,79.83000183105469,35.5099983215332,24.079999923706055,43.439998626708984,52.43000030517578,11.194369316101074,25.040000915527344,1.6699999570846558,136.20458984375,188.1199951171875
2015-09-30,27.575000762939453,82.22000122070312,36.119998931884766,24.440000534057617,44.2599983215332,53.72999954223633,11.630335807800293,25.709999084472656,1.7200000286102295,138.5946502685547,191.6300048828125
2015-10-01,27.395000457763672,83.75,36.2400016784668,24.90999984741211,44.61000061035156,53.18000030517578,11.512262344360352,26.040000915527344,1.7400000095367432,137.27532958984375,192.1300048828125
2015-10-02,27.594999313354492,83.98999786376953,36.88999938964844,25.530000686645508,45.56999969482422,55.06999969482422,11.839237213134766,27.170000076293945,1.8300000429153442,138.2218017578125,195.0
2015-10-05,27.69499969482422,85.83999633789062,37.59000015258789,25.739999771118164,46.630001068115234,56.22999954223633,12.343323707580566,28.5,1.7999999523162842,142.48565673828125,198.47000122070312
2015-10-06,27.827499389648438,85.1500015258789,37.72999954223633,25.68000030517578,46.75,56.31999969482422,12.715712547302246,28.420000076293945,1.8300000429153442,142.23709106445312,197.7899932861328
2015-10-07,27.69499969482422,80.6500015258789,37.65999984741211,25.68000030517578,46.79999923706055,56.61000061035156,12.720253944396973,29.420000076293945,1.8600000143051147,143.48948669433594,199.41000366210938
2015-10-08,27.375,82.26000213623047,37.88999938964844,24.149999618530273,47.45000076293945,57.65999984741211,13.251588821411133,29.799999237060547,1.9299999475479126,145.5831756591797,201.2100067138672
2015-10-09,28.030000686645508,83.81999969482422,38.099998474121094,24.299999237060547,47.11000061035156,57.779998779296875,13.306084632873535,29.399999618530273,1.9600000381469727,145.68833923339844,201.3300018310547
2015-10-12,27.899999618530273,83.91999816894531,38.040000915527344,24.559999465942383,47.0,57.790000915527344,13.306084632873535,29.729999542236328,1.8700000047683716,144.49330139160156,201.52000427246094
2015-10-13,27.947500228881836,83.6500015258789,37.81999969482422,24.6200008392334,46.88999938964844,57.5099983215332,13.274295806884766,29.790000915527344,1.9199999570846558,143.04014587402344,200.25
