1INCH/BTC
MATH/USD
MATH/USDT
MATIC/BTC
MATIC/EUR
MATIC/GBP
MATIC/USD
MATIC/USDT
MCO2/USD
MCO2/USDT
MDT/USD
MDT/USDT
MEDIA/USD
MEDIA/USDT
METIS/USD
METIS/USDT
MINA/EUR
MINA/USD
MINA/USDT
MIR/BTC
MIR/EUR
MIR/GBP
MIR/USD
MKR/BTC
MKR/USD
MLN/USD
MONA/USD
MPL/USD
MTL/USD
MUSD/USD
MUSE/USD
MXC/USD
NCT/EUR
NCT/USD
NCT/USDT
NEAR/USD
NEAR/USDT
NEST/USD
NEST/USDT
NKN/BTC
NKN/EUR
NKN/GBP
NKN/USD
NMR/BTC
NMR/EUR
NMR/GBP
NMR/USD
NU/BTC
NU/EUR
NU/GBP
NU/USD
OCEAN/USD
OGN/BTC
OGN/USD
OMG/BTC
OMG/EUR
OMG/GBP
OMG/USD
OOKI/USD
OP/USD
OP/USDT
ORCA/USD
ORN/BTC
ORN/USD
ORN/USDT
OXT/USD
PAX/USD
PAX/USDT
PERP/EUR
PERP/USD
PERP/USDT
PLA/USD
PLU/USD
PNG/USD
POLS/USD
POLS/USDT
POLY/USD
POLY/USDT
POND/USD
POND/USDT
POWR/EUR
POWR/USD
POWR/USDT
PRO/USD
PRQ/USD
PRQ/USDT
PUNDIX/USD
QNT/USD
QNT/USDT
QSP/USD
QSP/USDT
QUICK/USD
RAD/BTC
RAD/EUR
RAD/GBP
RAD/USD
RAD/USDT
RAI/USD
RARE/USD
RARI/USD
RBN/USD
REN/BTC
REN/USD
REP/BTC
REP/USD
REQ/BTC
REQ/EUR
REQ/GBP
REQ/USD
REQ/USDT
RGT/USD
RLC/BTC
RLC/USD
RLY/EUR
RLY/GBP
RLY/USD
RLY/USDT
RNDR/EUR
RNDR/USD
RNDR/USDT
ROSE/USD
ROSE/USDT
SAND/USD
SAND/USDT
SHIB/EUR
SHIB/GBP
SHIB/USD
SHIB/USDT
SHPING/EUR
SHPING/USD
SHPING/USDT
SKL/BTC
SKL/EUR
SKL/GBP
SKL/USD
SNT/USD
SNX/BTC
SNX/EUR
SNX/GBP
SNX/USD
SOL/BTC
SOL/ETH
SOL/EUR
SOL/GBP
SOL/USD
SOL/USDT
SPELL/USD
SPELL/USDT
STG/USD
STG/USDT
STORJ/BTC
STORJ/USD
STX/USD
STX/USDT
SUKU/EUR
SUKU/USD
SUKU/USDT
SUPER/USD
SUPER/USDT
SUSHI/BTC
SUSHI/ETH
SUSHI/EUR
SUSHI/GBP
SUSHI/USD
SWFTC/USD
SYLO/USD
SYLO/USDT
SYN/USD
TIME/USD
TIME/USDT
TONE/USD
TRAC/EUR
TRAC/USD
TRAC/USDT
TRB/BTC
TRB/USD
TRIBE/USD
TRU/BTC
TRU/EUR
TRU/USD
TRU/USDT
UMA/BTC
UMA/EUR
UMA/GBP
UMA/USD
UNFI/USD
UNI/BTC
UNI/EUR
UNI/GBP
UNI/USD
UPI/USD
UPI/USDT
USDC/EUR
USDC/GBP
USDT/EUR
USDT/GBP
USDT/USD
USDT/USDC
UST/EUR
UST/USD
UST/USDT
VGX/EUR
VGX/USD
VGX/USDT
WAMPL/USD
WAMPL/USDT
WBTC/BTC
WBTC/USD
WCFG/BTC
WCFG/EUR
WCFG/GBP
WCFG/USD
WCFG/USDT
WLUNA/EUR
WLUNA/GBP
WLUNA/USD
WLUNA/USDT
XCN/USD
XCN/USDT
XLM/BTC
XLM/EUR
XLM/USD
XLM/USDT
XRP/BTC
XRP/EUR
XRP/GBP
XRP/USD
XTZ/BTC
XTZ/EUR
XTZ/GBP
XTZ/USD
XYO/BTC
XYO/EUR
XYO/USD
XYO/USDT
YFI/BTC
YFI/USD
YFII/USD
ZEC/BTC
ZEC/USD
ZEC/USDC
ZEN/BTC
ZEN/USD
ZEN/USDT
ZRX/BTC
ZRX/EUR
ZRX/USD
